seed,transition,pre_phi,post_phi,horizon,regime_point,outer_origin,relative_origin,post_observations_seen,selected_window_pre_count,selected_window_post_count,selected_window_post_fraction,forecast_block_relation,selected_order,selected_window,selected_lambda,selected_smoothness,inner_objective,search_source,n_stationary_points,outer_block_mse,benchmark_block_mse,relative_rmsfe_block
0,stable_low,0.0,0.0,3,180,273,93,93,0,72,1.0,post,2,72,7830.000803601137,0.9755877413866638,0.2511378071795285,stationary_minimum,2,0.32827983606439454,0.22182683268035522,1.2165082675958059
0,stable_low,0.0,0.0,3,180,276,96,96,0,72,1.0,post,2,72,8572.031592240022,0.9764541488044073,0.260364352366288,stationary_minimum,2,0.14503790636010658,0.3821556261739801,0.6160566248056731
0,stable_low,0.0,0.0,3,180,279,99,99,0,72,1.0,post,2,72,8416.778572118275,0.9762808569890922,0.26120795300268895,stationary_minimum,2,0.17153022119400105,0.23864053027803114,0.8478093876548305
0,stable_low,0.0,0.0,3,180,282,102,102,0,72,1.0,post,2,72,8036.25634245072,0.9758385970661799,0.2576871633658734,stationary_minimum,2,0.26454663539972856,0.8574854144533606,0.5554407650164149
0,stable_low,0.0,0.0,3,180,285,105,105,0,72,1.0,post,3,72,48756372.40612625,0.9992839518558586,0.26103791861044484,stationary_minimum,2,0.19074816980848308,0.3683328959006235,0.7196311203268647
0,stable_low,0.0,0.0,3,180,288,108,108,0,72,1.0,post,3,72,496105782.6219043,0.9999269805227619,0.25469896298945066,stationary_minimum,1,0.14959978506220875,0.22825184491909215,0.8095773263997285
0,stable_low,0.0,0.0,3,180,291,111,111,0,72,1.0,post,3,72,1292083472.6422305,0.9999718977083941,0.2522871641902184,stationary_minimum,1,0.3786427613492156,0.7567740199641956,0.7073457071717875
0,stable_low,0.0,0.0,3,180,294,114,114,0,72,1.0,post,3,72,923631505.0399082,0.999960707723635,0.25063837901237734,stationary_minimum,1,0.24914376507538427,0.20692528407254776,1.0972819407870005
0,stable_low,0.0,0.0,3,180,297,117,117,0,72,1.0,post,3,72,167263432.39904803,0.9997851550762759,0.25307882594724224,stationary_minimum,1,1.0366704116189673,0.7594360660676228,1.1683547875415536
0,stable_low,0.0,0.0,6,180,120,-60,0,72,0,0.0,pre,2,72,3909.110597926233,0.9682318487286935,0.3203370249040009,stationary_minimum,1,0.4630205626433172,0.5881303551090382,0.8872854126628199
0,stable_low,0.0,0.0,6,180,123,-57,0,72,0,0.0,pre,2,72,4993.010660937253,0.970972789556458,0.31758925953189254,stationary_minimum,1,0.3181765523106784,0.25002930287685926,1.1280767043567899
0,stable_low,0.0,0.0,6,180,126,-54,0,72,0,0.0,pre,2,72,5597.138563655933,0.9721948730418759,0.3254819550454244,stationary_minimum,1,0.3021374636207759,0.8747677363692142,0.5877002982932887
0,stable_low,0.0,0.0,6,180,129,-51,0,72,0,0.0,pre,2,72,5831.742430484342,0.9726256031231916,0.32496281485438616,stationary_minimum,1,0.298899388181625,0.6495809891989616,0.6783375522105952
0,stable_low,0.0,0.0,6,180,132,-48,0,72,0,0.0,pre,2,72,5976.9996281295635,0.9728815426570776,0.32373408119411407,stationary_minimum,1,0.3115942221765811,0.6678770602229168,0.6830404673074523
0,stable_low,0.0,0.0,6,180,135,-45,0,72,0,0.0,pre,2,72,6040.513361446584,0.972991012063808,0.3224861234270788,stationary_minimum,1,0.28555831756763,0.2625295154260983,1.0429376333097646
0,stable_low,0.0,0.0,6,180,138,-42,0,72,0,0.0,pre,2,72,6351.796516240629,0.9735073908941952,0.32192998407271,stationary_minimum,1,0.17598041554614863,2.2557529510018757,0.2793099469600385
0,stable_low,0.0,0.0,6,180,141,-39,0,72,0,0.0,pre,2,72,6477.558451315048,0.9737070841678749,0.3202514265009646,stationary_minimum,1,0.4310797275513363,1.809061670930712,0.488148673783353
0,stable_low,0.0,0.0,6,180,144,-36,0,72,0,0.0,pre,2,72,6714.097399308504,0.9740698152464834,0.31395009417889486,stationary_minimum,1,0.23450605829602686,0.2773584277548506,0.9195097741652951
0,stable_low,0.0,0.0,6,180,147,-33,0,72,0,0.0,pre,2,72,7246.021939537745,0.9748299692994712,0.3187037428739157,stationary_minimum,1,0.1242424801629353,0.14592273306559853,0.922727743271208
0,stable_low,0.0,0.0,6,180,150,-30,0,72,0,0.0,pre,2,72,7094.18794316239,0.9746203154004204,0.31536680270537903,stationary_minimum,1,0.08114521907284042,0.08847186284881003,0.9576986663524142
